#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
1764757959012775168,0.004649194,0.009507899,0.005525516,0.238060758,0.227383889,9.779002042
1764757959017922560,0.000529021,0.010657028,0.009159290,0.125501029,0.283806657,9.755901170
1764757959023095808,0.001112170,0.006618042,0.007377432,0.224070223,0.310301497,9.724565487
1764757959028227840,0.002003624,0.009683123,0.005535166,0.172325070,0.237650099,9.673979860
1764757959033420288,0.002282550,0.006374141,0.002638792,0.138014772,0.344099171,9.800871434
1764757959038576384,0.002145261,0.009319149,0.003982806,0.179284802,0.268728725,9.763360021
1764757959043814912,0.003720348,0.010563278,0.005600013,0.230123592,0.291209030,9.672246607
1764757959048995584,0.003704704,0.006918072,0.009919687,0.309158210,0.285066518,9.793371767
1764757959054145536,0.002264010,0.011579785,0.006645758,0.236189383,0.401334301,9.684207771
1764757959059331072,0.004233166,0.008752883,0.008495754,0.260086762,0.364741383,9.793897057
1764757959064974592,-0.001023779,0.010065669,0.005796930,0.182398039,0.361155499,9.756477293
1764757959070141952,0.002854498,0.009389837,0.002906018,0.267315237,0.405502164,9.666738939
1764757959075323904,0.004664700,0.011729706,0.007650226,0.316914417,0.347029176,9.751066399
1764757959080854272,0.001067965,0.010426741,0.006624083,0.270727535,0.330396108,9.776499537
1764757959086029824,0.003065904,0.011479346,0.006516603,0.305370837,0.404955923,9.771394375
1764757959091254016,0.001286620,0.006635872,0.006924453,0.354142619,0.368433759,9.747416442
1764757959096424704,0.005300113,0.010940423,0.003323292,0.272136665,0.409375367,9.634837848
1764757959101618432,0.000588635,0.010538865,0.005012732,0.246340243,0.426905910,9.698404039
1764757959106774272,0.001381648,0.009595777,0.005986104,0.261863334,0.388502979,9.675795198
1764757959111935488,0.006008946,0.010348734,0.006342708,0.269026140,0.376934462,9.757663011
1764757959117088768,0.001767251,0.010428685,0.004898091,0.241679095,0.273658123,9.766240101
1764757959122238464,0.001702432,0.008682988,0.003947199,0.241673597,0.411942534,9.763645996
1764757959127405568,0.002782043,0.008492321,0.010172183,0.242424338,0.395310794,9.710531509
1764757959132608000,0.003588098,0.008769608,0.006238954,0.381363741,0.401634096,9.793146162
1764757959137804288,0.004615590,0.012050878,0.006612265,0.244847114,0.430921458,9.719392535
1764757959142982400,0.003934677,0.009851142,0.006521304,0.334850868,0.364663112,9.796518870
1764757959148151040,0.003737495,0.008082678,0.005757097,0.329609593,0.285441337,9.790174788
1764757959153350144,0.004002420,0.008253086,0.003632367,0.234492350,0.472498109,9.731936642
1764757959158515712,0.004677841,0.008142373,0.001840366,0.357303169,0.285579910,9.714741551
1764757959163769856,0.004715279,0.011672932,0.005716079,0.423578372,0.365248096,9.697867907
1764757959168986368,0.000444691,0.003888014,0.006942782,0.214610653,0.295499430,9.750739866
1764757959174205184,0.003992350,0.007970122,0.005220817,0.329244552,0.361567601,9.673730567
1764757959179363584,0.003557010,0.007634102,0.006084571,0.331227890,0.335545043,9.756545742
1764757959184522240,0.004833013,0.004045458,0.004908278,0.371970047,0.452615578,9.670309504
1764757959189641472,0.006998000,0.008973773,0.005339103,0.380536816,0.373560770,9.681769366
1764757959194712320,0.006886751,0.006668209,0.004391173,0.357635391,0.368426890,9.609260873
1764757959199851008,0.005310765,0.004904281,0.004440300,0.315815477,0.421726238,9.734967612
1764757959204987392,0.004766857,0.008287527,0.005063947,0.279465736,0.342971959,9.747498532
1764757959210163200,0.003022480,0.007908759,0.002802496,0.351893179,0.364282283,9.768085110
1764757959215315712,0.005149982,0.006382853,0.002534560,0.335092736,0.338661791,9.691357181
1764757959220443392,0.005311934,0.007820363,0.002423871,0.303266571,0.362716433,9.688495870
1764757959225574144,0.006129645,0.006046760,0.004756817,0.368693750,0.474287773,9.778546078
1764757959230762496,0.004990708,0.007405655,0.007173786,0.371174416,0.372052154,9.746682473
1764757959235910912,0.005797632,0.008971153,0.007098298,0.201355393,0.364560418,9.678659575
1764757959241051136,0.005627945,0.012200752,0.002265139,0.247615852,0.331816943,9.718730359
1764757959246154752,0.004040931,0.008219413,0.006659613,0.366877819,0.411746492,9.771364650
1764757959251279872,0.007928940,0.008081160,0.004539737,0.470134271,0.382515174,9.729125348
1764757959256378368,0.004427395,0.007039580,0.001310774,0.371131325,0.384861847,9.769033169
1764757959261476864,0.006464654,0.001227340,0.000909442,0.331467259,0.403840571,9.748997798
1764757959266623488,0.006604340,0.007417749,0.000055186,0.327633747,0.357798119,9.697512304
1764757959271763968,0.003801689,0.009356747,0.003581793,0.275319924,0.347269265,9.741528789
1764757959276940800,0.003958187,0.004998178,0.005107906,0.336472801,0.368460728,9.705688525
1764757959282260736,0.000558787,0.008168282,0.000988115,0.370015887,0.385852832,9.739289168
1764757959287464960,0.004074438,0.008205416,0.003482367,0.330397401,0.330562332,9.755356582
1764757959292682240,0.007420700,0.010943864,0.002624435,0.393138990,0.366706109,9.694333310
1764757959297936384,0.005686297,0.009260095,0.003088800,0.343787207,0.288650226,9.735823387
1764757959303149824,0.002730034,0.005915126,0.002998008,0.351069375,0.426495768,9.752165527
1764757959308353536,0.005914994,0.010906017,0.005183841,0.378774750,0.440899466,9.720341879
1764757959313542912,0.005074120,0.009022382,0.002234162,0.322877720,0.371568384,9.650294378
1764757959318787584,0.008237467,0.008625947,0.003025343,0.345046182,0.491099515,9.623516395
1764757959324025344,0.008991145,0.005162512,0.001371824,0.391816268,0.487128401,9.674722927
1764757959329320192,0.004952540,0.010163469,0.000788035,0.359473632,0.395237520,9.702247486
1764757959334468352,0.002935990,0.008568986,-0.001419818,0.312149033,0.438110431,9.644527101
1764757959339629568,0.002096804,0.009014817,0.000518503,0.368388137,0.466597233,9.706808535
1764757959344724992,0.003110456,0.010089076,0.003372411,0.422832726,0.385932004,9.596078348
1764757959349873664,0.006579190,0.007767269,0.000487953,0.400144620,0.358364706,9.682101244
1764757959355028992,0.007359286,0.008478605,0.003493695,0.345401697,0.498394595,9.650521932
1764757959360175104,0.007312527,0.006692855,-0.000111179,0.343372818,0.422896827,9.586279234
1764757959365396480,0.006926917,0.008134482,-0.000343778,0.465450177,0.464644620,9.630559508
1764757959370592000,0.006042527,0.006828113,0.000748193,0.414551965,0.414217037,9.746338725
1764757959375764224,0.010078536,0.007620409,0.000829768,0.421619365,0.434395084,9.669803061
1764757959380952576,0.005286199,0.008892661,-0.001103187,0.318198635,0.439317664,9.726295206
1764757959386199040,0.008416021,0.004632661,0.002516426,0.383567785,0.403806450,9.769715694
1764757959391438336,0.005364855,0.008729752,-0.002552722,0.354469104,0.485701950,9.641784849
1764757959396639488,0.003698723,0.009457433,-0.000880772,0.337623382,0.416598181,9.745188033
1764757959401806336,0.003246984,0.007277854,0.001543562,0.327370127,0.493888295,9.693954818
1764757959407012352,0.007858141,0.006622615,0.001171404,0.525854567,0.401754776,9.789491740
1764757959412201984,0.006168379,0.009651578,-0.001710036,0.372971606,0.386988035,9.697126759
1764757959417319168,0.009144293,0.005829181,0.001128978,0.400921734,0.535286129,9.754628040
1764757959422422784,0.007557317,0.007922091,0.002176387,0.477774998,0.451278069,9.758168519
1764757959427554560,0.008955112,0.006311540,-0.000967337,0.351876720,0.429393362,9.687891252
1764757959432774144,0.006926307,0.006246164,-0.002732463,0.442914656,0.415220233,9.686920308
1764757959437905152,0.005281670,0.004658489,0.000020794,0.410857229,0.482149062,9.708033567
1764757959443057152,0.004648055,0.009824347,0.000953018,0.233415531,0.441878681,9.773515073
1764757959448137984,0.007863308,0.003180788,-0.003383030,0.403724226,0.449573649,9.776950640
1764757959453232128,0.006637386,0.009654450,-0.003296611,0.433030498,0.475986135,9.743937426
1764757959458358528,0.008308450,0.009672763,-0.002467674,0.408895660,0.460886866,9.859633381
1764757959463516160,0.005985457,0.005508375,-0.002458328,0.363868598,0.498171272,9.666299055
1764757959468780544,0.007275688,0.006481102,-0.003013298,0.470137052,0.468697705,9.719849591
1764757959474012160,0.006764873,0.003890193,0.001389615,0.373906962,0.473697085,9.759820990
1764757959479207424,0.005176128,0.004782391,0.000714073,0.433925982,0.441281683,9.701775205
1764757959484389376,0.006764517,0.007544017,-0.003382035,0.405189870,0.496709739,9.735301231
1764757959489546752,0.007700853,0.006523364,-0.000842490,0.488414652,0.416343871,9.715558720
1764757959494725120,0.006530845,0.003557636,-0.001176750,0.394887778,0.440376665,9.884089332
1764757959499884288,0.005878787,0.002915178,-0.003944333,0.364163199,0.350082142,9.712904351
1764757959505008128,0.007787058,0.004982307,-0.001991291,0.338749929,0.491823509,9.644462859
1764757959510173440,0.007235539,0.009881754,-0.000864035,0.406698751,0.456813490,9.698921749
1764757959515299584,0.010092819,0.009743725,-0.003825851,0.466732721,0.402143629,9.691649752
1764757959520414464,0.006530215,0.007353010,-0.001576147,0.421338867,0.462097919,9.731991944
1764757959525628928,0.009050208,0.006442822,-0.001920173,0.346365415,0.532973458,9.701705307
1764757959530857216,0.008538012,0.006805348,-0.001448827,0.472001439,0.515504556,9.758749421
1764757959536099584,0.006831077,0.007322662,-0.000176134,0.441335315,0.465265109,9.784151319
1764757959541336320,0.004174024,0.007132264,-0.005015620,0.343226854,0.422652601,9.773608655
1764757959546569728,0.007786364,0.008180974,-0.001749396,0.359867959,0.435567228,9.756928425
1764757959551826688,0.005528591,0.007321638,-0.004490727,0.391436725,0.404730231,9.737863887
1764757959556950272,0.007918866,0.005760016,-0.001422983,0.420419165,0.387388113,9.766560746
1764757959562087680,0.007519077,0.009985138,-0.003250271,0.435379582,0.497957264,9.705338319
1764757959567284736,0.010420413,0.006503455,-0.003411655,0.328352528,0.510440965,9.688047797
1764757959572513024,0.007268511,0.004868500,-0.003225548,0.406810114,0.488904127,9.694767718
1764757959577797376,0.006542978,0.006101384,-0.005966483,0.432273977,0.477288335,9.765844013
1764757959582947072,0.008827064,0.007075948,-0.000167395,0.361320804,0.387030778,9.705701055
1764757959588090368,0.009828802,0.008075487,-0.003075075,0.403323511,0.527505421,9.755776845
1764757959593245952,0.002976142,0.008400675,-0.003164752,0.471185679,0.361799419,9.790212138
1764757959598422272,0.005811114,0.008866452,-0.002118789,0.445967985,0.466756397,9.738395078
1764757959603572224,0.007789656,0.006425060,-0.005074106,0.347169705,0.517899090,9.721242300
1764757959608687616,0.005076721,0.009269335,-0.005911023,0.388265929,0.555782042,9.742855272
1764757959613820416,0.010191110,0.005681731,-0.008124978,0.402446965,0.464455523,9.709399735
1764757959618981376,0.010950811,0.008074219,-0.005018407,0.374590111,0.445177501,9.721663292
1764757959624120832,0.008471626,0.007108332,-0.004897396,0.428296036,0.502016679,9.645202963
1764757959629303296,0.006657031,0.006744835,-0.004638745,0.355863189,0.453096946,9.788921060
1764757959634462464,0.006848808,0.004671604,-0.003674834,0.415828252,0.462186467,9.756048761
1764757959639618560,0.007105659,0.005893241,-0.008834462,0.344886702,0.489664657,9.798415262
1764757959644755712,0.008410171,0.009337088,-0.003532022,0.404928963,0.425880385,9.740686934
1764757959649872896,0.006247127,0.006938748,-0.005464497,0.396244244,0.439323388,9.714347556
1764757959654995968,0.006597594,0.005390311,-0.004929529,0.373492074,0.567042514,9.855239737
1764757959660228864,0.010272187,0.005138956,-0.004716082,0.383876107,0.471788421,9.850152526
1764757959665366272,0.010784256,0.003690733,-0.004236152,0.393458451,0.479982160,9.752450807
1764757959670495232,0.007545257,0.007650598,-0.005672599,0.392974255,0.417333984,9.751268719
1764757959675765760,0.009909009,0.005952746,-0.005382982,0.346175517,0.452138476,9.782441940
1764757959680948480,0.005996748,0.005233533,-0.006814162,0.436722439,0.471270779,9.697035507
1764757959686169088,0.010792840,0.007044985,-0.005887626,0.401378276,0.391141380,9.850346586
1764757959691367168,0.004947825,0.006930243,-0.004572366,0.371550476,0.446369098,9.766349361
1764757959696560896,0.003656586,0.006982927,-0.004321605,0.393106290,0.508671147,9.825151933
1764757959701768192,0.002483583,0.006370196,-0.004135271,0.377836781,0.506574874,9.766452493
1764757959706949888,0.006657961,0.004847497,-0.011626158,0.336812676,0.458524685,9.847697856
1764757959712170496,0.006152372,0.010548986,-0.007517158,0.416055404,0.557873395,9.752111446
1764757959717350912,0.008605436,0.009763756,-0.006185762,0.374615497,0.444247882,9.837342036
1764757959722592256,0.005591232,0.005534045,-0.006442227,0.436640432,0.590430027,9.741803558
1764757959727851264,0.006616853,0.007707099,-0.009743596,0.405547633,0.526474941,9.727856681
1764757959733046272,0.008011128,0.005207356,-0.006395610,0.459409148,0.540529556,9.894945155
1764757959738259712,0.006490237,0.003998328,-0.004243970,0.376133467,0.517660863,9.777277699
1764757959743449856,0.007616683,0.005647124,-0.006150329,0.392655982,0.492338404,9.834452077
1764757959748608512,0.010763359,0.005767732,-0.005853875,0.306857266,0.532816267,9.827498449
1764757959753770240,0.009307534,0.008406994,-0.008787136,0.326919598,0.469952025,9.795321257
1764757959758892544,0.007188608,0.008019118,-0.006726188,0.371718177,0.455705946,9.862075592
1764757959764018432,0.008641393,0.004263286,-0.006458137,0.521950726,0.480744794,9.760179255
1764757959769191168,0.009351776,0.005440763,-0.005327666,0.400568276,0.457931607,9.838356884
1764757959774366208,0.004574675,0.006429212,-0.004806313,0.391644244,0.529677675,9.804950967
1764757959779521024,0.010261254,0.001533644,-0.005118927,0.364781133,0.413235309,9.770265926
1764757959784643584,0.010428325,0.007708374,-0.007009821,0.339951889,0.477231366,9.779175060
1764757959789714944,0.002497113,0.006593264,-0.005833330,0.442480995,0.475043040,9.765183371
1764757959794837504,0.007614853,0.005749926,-0.008269878,0.293359435,0.477238550,9.811879475
1764757959800006144,0.008796286,0.007260354,-0.005141937,0.380504441,0.438693111,9.737326124
1764757959805119744,0.010718417,0.007942801,-0.007226463,0.351034556,0.538323857,9.798689389
1764757959810228736,0.006782611,0.002706524,-0.007486831,0.403090437,0.508684728,9.847382217
1764757959815398400,0.008457031,0.004938668,-0.005996035,0.408093017,0.474851097,9.727198762
1764757959820548352,0.011301674,0.005472480,-0.008703551,0.422128108,0.443382675,9.820984282
1764757959825712384,0.005574273,0.005553849,-0.009175830,0.331254373,0.398535132,9.835828778
1764757959830881536,0.010561722,0.003751692,-0.011667262,0.335409983,0.531006027,9.831676389
1764757959836035584,0.008414432,0.005053659,-0.005768993,0.433351517,0.585917840,9.747580289
1764757959841179392,0.008984366,0.003492722,-0.009210253,0.402350740,0.526754731,9.802606592
1764757959846332416,0.008573695,0.006688646,-0.007422951,0.332601705,0.530429496,9.762536511
1764757959851476480,0.006048648,0.010662304,-0.007847517,0.361176775,0.533168725,9.777519081
1764757959856619776,0.007224642,0.005730918,-0.008862931,0.321216736,0.532775364,9.836428555
1764757959861737984,0.013005982,0.007743274,-0.008282258,0.255367876,0.479842973,9.781900453
1764757959866901248,0.009480557,0.003241348,-0.009324070,0.301961560,0.484936851,9.837413887
1764757959872060416,0.009616516,0.009454133,-0.009516448,0.278444504,0.543117366,9.846784074
1764757959877207552,0.007329205,0.008049805,-0.009814289,0.305603906,0.465574744,9.767248950
1764757959882349056,0.008079591,0.003404449,-0.008574707,0.253861512,0.491510519,9.750959818
1764757959887514112,0.008212072,0.005856781,-0.009545701,0.313967365,0.552650106,9.862876490
1764757959892685312,0.009238058,0.001917226,-0.009423384,0.283501732,0.460567840,9.782661238
1764757959897869312,0.010255782,0.005851709,-0.007217336,0.322298488,0.478419695,9.816051562
1764757959903043328,0.008487246,0.007002448,-0.008110819,0.380449171,0.492570466,9.829578720
1764757959908207104,0.008062071,0.004939679,-0.008698356,0.300305093,0.515569343,9.820560372
1764757959913360640,0.009993207,0.005756070,-0.011655748,0.388088444,0.566648407,9.815092510
1764757959918500864,0.009813127,0.005915871,-0.008237145,0.256244021,0.429244292,9.757902014
1764757959923693568,0.008030143,0.006110810,-0.008036232,0.294724327,0.504901139,9.844820912
1764757959928822272,0.011119312,0.004995090,-0.010141410,0.343285709,0.520653901,9.889187105
1764757959933938432,0.010013905,0.004286647,-0.005568155,0.348516884,0.441909893,9.775256515
1764757959939049472,0.010289850,0.004410804,-0.007639007,0.323684805,0.576178284,9.913480529
1764757959944189696,0.009383013,0.003742831,-0.011397793,0.343567896,0.558588794,9.835195682
1764757959949296640,0.008175339,0.006979916,-0.008033274,0.279475299,0.455251556,9.894817478
1764757959954434816,0.009370748,0.006429448,-0.007071375,0.358175551,0.509507487,9.756772756
1764757959959597568,0.008253619,0.005957588,-0.010918277,0.338260014,0.465287235,9.774340504
1764757959964786688,0.012066703,0.006735033,-0.008499504,0.265049930,0.471208793,9.804638289
1764757959969911808,0.009772996,0.004166241,-0.009454569,0.348577228,0.522860315,9.899171968
1764757959975017472,0.005722421,0.003027592,-0.011837795,0.286633418,0.477180580,9.784556544
1764757959980156672,0.009337722,0.008835983,-0.008979037,0.314173288,0.444132586,9.816677433
1764757959985295360,0.008145024,0.002715262,-0.009562550,0.273330663,0.500751151,9.802552740
1764757959990483200,0.007997311,0.004919398,-0.007763016,0.303981945,0.450737719,9.886036739
1764757959995728896,0.007851097,0.005399375,-0.010492899,0.214977309,0.382976743,9.812980151
1764757960000898816,0.009747846,0.006581315,-0.011392827,0.244939067,0.575730630,9.878169614
1764757960006022144,0.010486517,0.003856648,-0.005801780,0.313437172,0.510090993,9.802952185
1764757960011203328,0.008297661,0.003598462,-0.010412365,0.307913840,0.565687958,9.876689112
1764757960016365312,0.008381755,0.005761965,-0.008314435,0.186770831,0.452006191,9.918671628
1764757960021539328,0.007737417,0.004886684,-0.009568737,0.332189244,0.538835937,9.904885385
1764757960026726144,0.011404180,0.000132297,-0.006357026,0.225882338,0.519656006,9.843119004
1764757960031956992,0.009473058,0.004576009,-0.006165730,0.253507719,0.469206363,9.911455512
1764757960037175808,0.009172868,0.002918526,-0.006569357,0.326061715,0.470573493,9.866232210
1764757960042356480,0.010901183,0.005665398,-0.007257360,0.220476900,0.471101877,9.910074010
1764757960047549440,0.006152515,0.005114529,-0.009247886,0.208768816,0.504081238,9.841260197
1764757960052767488,0.008546345,0.001446474,-0.009895613,0.239693290,0.418001170,9.852345765
1764757960057971456,0.009422503,0.004930762,-0.011883208,0.285051740,0.465281491,9.896722459
1764757960063128832,0.011361370,0.003403099,-0.009966459,0.232685602,0.543755471,9.845351243
1764757960068294656,0.009201807,0.003392185,-0.007472390,0.242872338,0.428442431,9.886350893
1764757960073454336,0.010097895,0.004842748,-0.012613183,0.284448881,0.534477597,9.918691958
1764757960078591232,0.007557509,0.004911948,-0.007875583,0.196280346,0.596443875,9.952366517
1764757960083744000,0.013045598,0.005136486,-0.008324280,0.292034608,0.555306463,9.778242975
1764757960088884480,0.008123138,0.008926285,-0.010625361,0.258182641,0.533333671,9.826590166
1764757960094028032,0.010682677,0.005221012,-0.009721200,0.208335745,0.482456463,9.875542967
1764757960099229184,0.006285850,0.003340506,-0.011952301,0.211231862,0.433726391,9.993606815
1764757960104413440,0.007709193,0.005629585,-0.010681580,0.172405095,0.520475654,9.929702494
1764757960109600256,0.009462674,0.005111132,-0.006885012,0.244561358,0.417399688,9.846942784
1764757960114777088,0.007898581,0.006988163,-0.008425858,0.256652665,0.499489251,9.941463773
1764757960119973888,0.009015078,0.004604060,-0.007915968,0.208333412,0.489843022,9.894201454
1764757960125205760,0.007847424,0.006778760,-0.008187642,0.219569184,0.440279576,9.862717520
1764757960130359808,0.005147002,0.004543411,-0.010952273,0.254843894,0.479600768,9.924746919
1764757960135593728,0.011637877,0.006462553,-0.007691891,0.255667931,0.513329367,9.927482886
1764757960140839936,0.005817364,0.002128540,-0.009792449,0.346695992,0.530285261,9.979320016
1764757960146092800,0.009021117,0.006816487,-0.010239911,0.263028640,0.402029780,9.970572683
1764757960151277568,0.006256143,0.004034566,-0.007300948,0.292197100,0.470750852,9.905194374
1764757960156448512,0.005596725,0.004045788,-0.009390545,0.300289590,0.461354969,9.994108805
1764757960161712896,0.007649011,0.005763112,-0.008339526,0.154223395,0.457577708,9.769904925
1764757960166970880,0.009777989,0.004069656,-0.007310741,0.256397897,0.477454761,9.879433958
1764757960172209152,0.009431752,0.005286665,-0.005975066,0.265202465,0.416873534,9.879177609
1764757960177443584,0.006400834,0.004447312,-0.008498324,0.204957380,0.444542128,9.866771869
1764757960182686464,0.008865892,0.003944544,-0.006103415,0.255197073,0.348600780,9.843230109
1764757960187969536,0.008600636,0.003606436,-0.007974449,0.129947953,0.435215534,9.839749643
1764757960193192192,0.007162343,0.003245920,-0.008470913,0.181177756,0.482046890,9.806600845
1764757960198402048,0.007878900,0.005310018,-0.007670180,0.212467951,0.452905225,9.868658304
1764757960203630336,0.011316711,0.002986332,-0.006912151,0.284167271,0.395594788,9.828727019
1764757960208929792,0.008672394,0.005579565,-0.007327902,0.113244427,0.364648060,9.882721931
1764757960214138112,0.012549363,0.002338505,-0.007951602,0.164614092,0.458741825,9.931472019
1764757960219361024,0.006763266,0.004051288,-0.008448403,0.173155324,0.409603535,9.794338191
1764757960224610048,0.007288283,0.003629751,-0.006961742,0.067456326,0.513581487,9.917644946
1764757960229802496,0.012614808,0.003654393,-0.006606223,0.140276373,0.442022270,9.891627883
1764757960235042560,0.007335096,0.001855789,-0.009241573,0.141401712,0.493973042,9.881051872
1764757960240230144,0.009357487,-0.000045512,-0.008829228,0.131217409,0.464034203,9.906305882
1764757960245409024,0.009698725,0.003886405,-0.010836803,0.132322242,0.415287573,9.960439853
1764757960250646016,0.008726422,0.003059381,-0.011074454,0.134429559,0.497195999,9.909925887
1764757960255851520,0.008065414,0.006038549,-0.010526152,0.105565808,0.512558215,9.855012387
1764757960260998144,0.008115419,-0.000265526,-0.009889653,0.129527964,0.435749095,10.000952346
1764757960266231552,0.006577018,0.004412155,-0.008667829,0.073090156,0.341284932,9.905979374
1764757960271422208,0.006446914,0.002880009,-0.006456169,0.143532432,0.475941449,9.869083910
1764757960276662272,0.009611534,0.004369446,-0.009329104,0.259258256,0.418645626,9.937001973
1764757960282028032,0.010074629,0.002125726,-0.007327728,0.102489353,0.457222670,9.965593445
1764757960287288832,0.010870369,0.000720707,-0.008260843,0.112274313,0.467199221,9.912692034
1764757960292472576,0.005521160,0.004761577,-0.005432671,0.131579051,0.440733957,9.904340274
1764757960297666816,0.007933814,0.006712672,-0.007648949,0.179671650,0.448873576,9.939485890
1764757960302908416,0.007288782,0.003818097,-0.009018308,0.105746878,0.498059877,9.944526202
1764757960308148736,0.007721037,0.000235719,-0.004698721,0.019663459,0.359249160,9.893220171
1764757960313705472,0.006850896,0.002417366,-0.006463915,0.098673986,0.513387106,9.930192063
1764757960318944512,0.007512812,-0.000133012,-0.006682462,0.103100146,0.410285330,9.969557985
1764757960324420096,0.005732108,0.004530214,-0.006397252,0.092559268,0.452540704,9.809586383
1764757960329646080,0.008124250,0.004293456,-0.005045217,0.027398355,0.407025181,9.988279370
1764757960335609088,0.010351631,0.002708832,-0.010112420,0.138229825,0.454084001,9.847191600
1764757960340843264,0.007287390,0.003580937,-0.005193777,0.067854472,0.361771508,9.966279745
1764757960346068224,0.006933723,0.004756667,-0.006058045,0.113725197,0.439024217,9.929232981
1764757960351703296,0.008021817,0.001601628,-0.009966829,0.199692384,0.319997579,9.883470719
1764757960357610752,0.009495286,0.003248546,-0.002767080,0.031024326,0.329810873,9.903842237
1764757960362863360,0.008233779,0.002041525,-0.004806302,0.093990630,0.489869614,9.902743335
1764757960368185088,0.007086679,0.002766913,-0.003748916,0.092595678,0.444386259,9.933525243
1764757960374234368,0.008148431,0.005482594,-0.003484069,0.010751479,0.325148431,9.844290740
1764757960379601664,0.007067353,0.002579801,-0.008754290,0.039239818,0.420297740,9.867086565
1764757960385047552,0.006667203,0.000151442,-0.007486906,0.114802530,0.329524139,9.929772121
1764757960391268864,0.007850630,0.002960140,-0.005438223,0.005912611,0.416460136,9.931267996
1764757960396538624,0.009357949,0.006269606,-0.003994754,0.015546377,0.411639073,9.813027493
1764757960401816576,0.009593214,0.006106328,-0.004979204,0.052542428,0.407720847,9.939615390
1764757960407050240,0.004712352,0.005133730,-0.006423773,0.077725410,0.346167366,9.928467651
1764757960412182016,0.007609769,0.003835465,-0.004902279,0.055305768,0.321259765,9.885559352
1764757960417391104,0.006289716,0.003561743,-0.007174542,-0.037002121,0.393687391,9.950941931
1764757960422598144,0.008872169,-0.000880275,-0.004913279,0.113388624,0.318663134,9.820428340
1764757960427802880,0.008449272,0.002116623,-0.002234578,0.018480406,0.394571370,9.853679497
1764757960433003264,0.005096222,0.002833329,-0.002051801,0.051385903,0.420568876,9.960687238
1764757960438191616,0.007573919,0.002009644,-0.002729988,-0.024938014,0.299019300,9.989863133
1764757960443351808,0.007678439,0.003133619,-0.005537411,0.020458499,0.402781275,9.896634373
1764757960448511744,0.008403748,0.002562588,-0.005244630,0.107699790,0.331398341,9.909125962
1764757960453734912,0.007501709,0.005063286,-0.002098094,0.066181442,0.408149819,9.807267211
1764757960458988288,0.005624497,0.004563748,-0.002059031,0.045603359,0.295734537,9.964186079
1764757960464209920,0.006090976,0.001527196,-0.005604409,0.048694600,0.459467017,9.875357555
1764757960469341440,0.007044617,-0.000286900,-0.006715850,-0.021225964,0.414849000,9.845447776
1764757960474452992,0.006934344,0.004678250,-0.004275035,-0.035782581,0.340095845,9.977737204
1764757960479662336,0.006897292,0.000916669,-0.002362354,-0.020246314,0.353382003,9.832285527
1764757960484895488,0.009198533,0.004655896,-0.004812740,0.021075505,0.368139649,9.965219587
1764757960490100224,0.008812577,0.003867870,-0.001982181,0.148575719,0.334173574,9.845752425
